Nama Fail,Baris,Nama Produk,Item ID,Member ID Match,Status API,Mesej API,Status Akhir,Pautan Ditemui,Pautan Sebenar (Resolved)
data_promo_list_03.xlsx,86,[NEW] ECOVACS DEEBOT T80 Omni Floor Washing Robot Vacuum Cleaner | 18000 PA | OZMO ROLER ™Mop | 75°C Hot Water Wash  & Hot Air Dry | ZeroTangle Pet Hair | TruEdge 3D Sensor | Video Manager | AIVI 3D 3.0 Obstacle Avoidance [ 2 Years Warranty],2061184677,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKu?c=d&t=p-i2FUWI9-sSOEutE,https://s.lazada.com.my/s.ZdbZKu?c=d&t=p-i2FUWI9-sSOEutE
data_promo_list_03.xlsx,87,Dyson Airwrap™ Origin multi-styler and dryer (Nickel/Copper) | No heat damage | Quick and fuss-free styling| Penggaya Rambut Serbaguna,3313924680,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKF?c=c&t=p-i3cGtC4-sJMVihy,https://s.lazada.com.my/s.ZdbZKF?c=c&t=p-i3cGtC4-sJMVihy
data_promo_list_03.xlsx,88,[FREE SHIPPING] Midea 7.5KG Front Load Washing Machine MF100W75 Washer / 5 Star Mesin Basuh,4606448326,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKv?c=d&t=p-i51kBde-sSKzUsD,https://s.lazada.com.my/s.ZdbZKv?c=d&t=p-i51kBde-sSKzUsD
data_promo_list_03.xlsx,89,Haier | Fresh Water Direct Drinking RO Purifier 1200G,14906471633,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKE?c=d&t=p-iGGo2Dp-s2FzQ8GB,https://s.lazada.com.my/s.ZdbZKE?c=d&t=p-iGGo2Dp-s2FzQ8GB
data_promo_list_03.xlsx,90,Joyoung | Blender,14841656505,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKw?c=c&t=p-iGCQ4qX-s2FB0VvG,https://s.lazada.com.my/s.ZdbZKw?c=c&t=p-iGCQ4qX-s2FB0VvG
data_promo_list_03.xlsx,91,"[2026 NEW] ECOVACS DEEBOT T50S Pro Omni Robot Vacuum | 25,000 PA | ZeroTangle™ 3.0 &  TruEdge™ 2.0 Edge Cleaning | 75°C Hot Water Wash & Hot Air Drying",4141955690,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKD?c=c&t=p-i4WJDsw-s2FyqhS2,https://s.lazada.com.my/s.ZdbZKD?c=c&t=p-i4WJDsw-s2FyqhS2
data_promo_list_03.xlsx,92,De'Longhi Magnifica Evo Titanium Fully Automatic Coffee Machines (Black) - ECAM290.81.TB Delonghi WAH LEE STORE,3781236295,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKx?c=d&t=p-i47tgIB-sNlu4Lu,https://s.lazada.com.my/s.ZdbZKx?c=d&t=p-i47tgIB-sNlu4Lu
data_promo_list_03.xlsx,93,【160°C HYPERSTEAM】Tineco Floor One S7 Stretch Steam Floor Washer | 80mins Runtime | 25kPa Suction Smart Wet Dry Vacuum Cleaner,4751807053,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKC?c=c&t=p-i5Ba65F-sTBm82d,https://s.lazada.com.my/s.ZdbZKC?c=c&t=p-i5Ba65F-sTBm82d
data_promo_list_03.xlsx,94,MAIDACHU | High Power Commercial Electric Stovetop 30kw,4807794988,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKy?c=d&t=p-i5FN16S-sTdGy4i,https://s.lazada.com.my/s.ZdbZKy?c=d&t=p-i5FN16S-sTdGy4i
data_promo_list_03.xlsx,95,Bosch Series 2 free-standing dishwasher 60 cm silver inox - SMS25AI00V,3814604766,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKB?c=d&t=p-i4A9gxK-sO8G0QP,https://s.lazada.com.my/s.ZdbZKB?c=d&t=p-i4A9gxK-sO8G0QP
data_promo_list_03.xlsx,96,MUHUASHA | Commercial Refrigeration Workstation Set,14847919910,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZKz?c=d&t=p-iGCqMFC-s2FJYBgs,https://s.lazada.com.my/s.ZdbZKz?c=d&t=p-iGCqMFC-s2FJYBgs
data_promo_list_03.xlsx,97,Senz SZ-CH338I MultiHood Chimney Cooker Hood 1800m3/h Suction Power 4 Speed Power SZCH338I Hud Memasak,443202482,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZqa?c=d&t=p-iTzdD8-siS0qY,https://s.lazada.com.my/s.ZdbZqa?c=d&t=p-iTzdD8-siS0qY
data_promo_list_03.xlsx,98,[ONLINE EXCLUSIVE WITH FREE BABY BOTTLE STERILISER/DRYER WORTH RM399] PANASONIC NR-BX471HWKM ELECTRIC REFRIGERATOR HA5,4746430997,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZqZ?c=c&t=p-i5BDXWf-sT92htH,https://s.lazada.com.my/s.ZdbZqZ?c=c&t=p-i5BDXWf-sT92htH
data_promo_list_03.xlsx,99,The Morning Machine Nespresso-Compatible Coffee Capsule Machine,2387605514,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZq0?c=d&t=p-i2ba9GM-sBDEDmz,https://s.lazada.com.my/s.ZdbZq0?c=d&t=p-i2ba9GM-sBDEDmz
data_promo_list_03.xlsx,100,Samsung | Samsung Vs70H18Gzk Jet Fit 180W Nationwide /Free Cordless Vacuum Cleaner Lightweight Satin Black,14930614663,TIDAK,API_ERROR,Kod API: InvalidApiPath - The specified API Path is invalid,⚠️ PERLU SEMAKAN (Ralat API),https://s.lazada.com.my/s.ZdbZqb?c=c&t=p-iGIRKvX-s2G5iiB8,https://s.lazada.com.my/s.ZdbZqb?c=c&t=p-iGIRKvX-s2G5iiB8
